[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:14%(B:14 Δ:  0) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:14%(B:14 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:15%(B:14 Δ:  1) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:42% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:14 Δ:  2) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[FSM] ERRORE -> RIPOSO | Credito: 0E | Prodotto: 1
[FSM] RIPOSO -> ATTESA_MONETA | Credito: 0E | Prodotto: 1
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
